query1,query2,county,state,city,highway,news_id,report_key
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,HIGH ST,CBMiiwFBVV95cUxONVZvVWFoUU9OM1ZGTGo0QUVvVFI4Y29pNjZtODBCREt5dWtLeHlla3VJU3NiamhWVHNsSzhjaElrOHpKeFhqcy1QWWhVVUZaN0tRdFp1SjdPODVkYV9jNUNzbDFkUVBhWnlmTDR1bHR4QVFsTmY3ZE10NHhIQzdPOXZzLUFlVXE1dkhR0gGQAUFVX3lxTE9UV0RxazRzS3lzMHI4MzZNbVhIdXhucVNzaUFUSG5oQ2w1VlNLNzRodUlHbXJ1UVJqYmxsN2RPODVWTUNnQ0ZhRFA2VjZQZ0dNT3N1c1VZOTE0amhhYmpNLVB5dFVYaUhTRmpmQmxITThPSnAzcGJKejkzMlNNb0pMeXdvZkJWcmpTazN0UjZocg,ATK173579202301
train,accident,ALAMEDA,CALIFORNIA,ALAMEDA,67TH ST,,ATK173413202301
train,accident,ALAMEDA,CALIFORNIA,ALAMEDA,67TH ST,CBMiigFBVV95cUxPbldhd1ZWMXUxZTY0ckdlQXRnMS00cFZlcHhETWo4ck1QRmNTZF9LWFdDdlNsWFNmYlY1NDBHa3d3bWVwX2s3TXBRUjlvT0xPLWxXWk90VVVJS1gxd1IyNTczWlk3OGpXelo3Vk56d3dmMW1QcHNMQ2p4S2xLR2puYVM5Z2JjZVRCN2fSAY8BQVVfeXFMT2t1VFlGTlA5SE9Gbmg4dWtQcmt2anhVMU1ZR1E5LTQtRW1uZjQ2T3QtUkU1emxmOTBja0dwZzJlZnlRNU10YWdEb29OSnE5MUlZSnByNWZlS04xbmZ4YnlRRFp4Y3RHY0pBWmdUbnhYQW00N2ZZTUl6Znp4WWczOW1tX0xBZ3JGOXd1TlRYeVE,ATK173413202301
train,accident,ALAMEDA,CALIFORNIA,ALAMEDA,67TH ST,CBMijgFBVV95cUxOMnloS1dJQnc2OGpnUDFuU2R5T1RVRDYxWklLWDhVWHlyV3VtLWdKdHlLRG04T1FZZFAwbFZFNDhxcVFmdjRadExEZGFRQkpaZEt0SlV1VnlFYnhwd0h1RTZ6cXlNY01EeGQtVXgwNW5mdXhaRE9SZXhmcjI1OVM2bVNaNXlPNHVnUVpwZTZB0gGTAUFVX3lxTFBteTBpeUZhTWFCX2R2eE9pQkRmOVRXOTZfbE9oSGh4MHFOR3lsdEZxeTJmNjVYUDBxSzBXTDd1c0FWT1NET1h3ZjdvT0xJQ0lpVVYwd2RNN1ExODVXM1FlZDRiVTFXYWNnMEdpejRtSV9LWTVIQ1Yzd2FQYzctdENJY2lCRUxsVnVVbFg5YmxmZUppZw,ATK173413202301
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,HIGH ST,,ATK172965202212
train,accident,ALAMEDA,CALIFORNIA,EMERYVILLE,66TH STREET,,UP1122NC009202211
train,accident,ALAMEDA,CALIFORNIA,BERKELEY,BANCROFT WAY,,UP1022NC034202210
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,37TH AVE,,ATK172413202210
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,MARITIME ST,,BNSFCA1022201202210
train,accident,ALAMEDA,CALIFORNIA,BERKELEY,HEARST ST,,UP0922NC004202209
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,29TH AVE,,ATK171849202208
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,50TH AVE,,ATK171321202207
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,50TH AVE,CBMifEFVX3lxTE1RVUxFUVpVb21zZndtbGdxcnNIU3g1R0czdjcxUUI4TFBrVjZpQ1RwWnYyQXFzS1lrTVdIU3NJcFVWdlgxV2hURXFxdFZMMEloUTN6TnlpSkgxUlNUWEVvWHBtU3h2aEd2ZVdvSXpYeXNrV3YxODE3UmdVYmk,ATK171321202207
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,50TH AVE,CBMiiAFBVV95cUxORHg1cVg4SjJ4X0QzLTdZZHZyaGxIZV80Q0RVZFM2WDZITDJnY0FKTEh6YnBlUVZ2ZVRKN2RWcVFjbGpkdFFXN281c3BXQmZOWl9Gdmc4ZHdsVFRwWERFbUhyYVp4Q05nSW85dXR3WVRfWGN5WkV2LUNMX2xTdnJIMVp4bGJLQ3VH0gGOAUFVX3lxTE9TOThsVklMOXVrYmxOMnJURHE5TTNqWmIwVjk4UURWNzc0aUIwOTNGaXB3eS0tUkhwMzctWTZ3OEhaNi13NzJZRzcxRjg5SU5FVWZBaThQVzVUUUtzQndqc0NCeGJGRkxVTUttM21EU3RhWmRQeUl4ZURPbWJ0SDhiYVJnNnU4RWRpSWRfYVE,ATK171321202207
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,50TH AVE,CBMisAFBVV95cUxOX2VJQVlRbmxHV0I5NkN3cjM4Q3R4MllsZTRpRDF1VFhwU3d3Qm1UNVl2a3RzdUVaRl9TNFB5S1drVUgzRHJGQ3RHRFFMT2kzTXVhTlZkQ2FaSkxUcVN0RDRGZWFJa29OYy16WDNuQnp4a3RFZUsxa0FIaFd2TTRQV3RtaUx3MjN0UkQwbWpJLWloUHptY1lBWDZPT0xvQXNSMVpKdlZaZnBPeERXM196Sw,ATK171321202207
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,50TH AVE,CBMimgFBVV95cUxONnBQd1o4bmVXcW1LUXptQVhLNGtRbGZ5VG1qc1FTUkNNb0xubjdNX1dfTTl4TDdzeURPal9HU01pSWZRWk1tV2pGZS1oWWN4SHBGWkR3RWszZGIzX1piRy1HWHdIZHhmMTlIcmZ3bzhlS3pvM28wNG02YTdYeHc1T1hXUzNubUwyYjlWaW52eXlDUzIxR1Q5UDh30gGfAUFVX3lxTE1DU1ZjUVBnLUlDRlplY19QNk5VSm5JTDZCeS1QcElGeVZ5TlIxZ2JXSVVzTnpMRGhBS0R3cmgxVTFxR2FRWi1fdW9rRDZJWEFGUF9tbHkzSVlxcFFIa0ZISi1jM3RKeFhlU1RyUk9hMnZzUEdYd2ZYcHNaX2tjekdwa3p5bEkwY0N5UXlSS0tlZUNmQVRHaWp0LUk5N3ZuNA,ATK171321202207
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,37TH AVE,,ATK171295202207
