subject,action,spot,state,year,page,url
train,crash,crossing,MISSISSIPPI,2024,4,"['https://www.kten.com/ada-shares-details-of-crazy-corner-redesign-and-funding/article_035457fb-0fa2-5cb7-a178-6c7cd0061882.html', 'https://www.deltanews.tv/news/national/driver-escapes-broken-down-car-moments-before-train-smashes-into-it/article_d99e368a-0e5c-5516-a5b8-4268f8dc3da0.html', 'https://www.advantagenews.com/news/local/regional-disaster-drill-begins-today/article_9cd92b3a-429b-11ef-977a-4b6616eb3b44.html', 'https://www.wtva.com/news/body-found-by-railroad-tracks-in-lowndes-county-no-foul-play-expected/article_96289540-38b0-11ef-a4aa-e7225b5690b7.html', 'https://www.wqow.com/news/wisconsin/moose-sightings-on-the-rise-in-northern-wisconsin/article_9afd05ce-81d0-11ef-971e-e332aef02c4d.html', 'https://www.kten.com/a-4-million-plan-to-fix-adas-crazy-corner/article_6c97da9b-4d37-5257-bcac-ec771f1fe915.html', 'https://www.nytimes.com/2024/01/12/us/weather-rain-snow-winter-storm.html', 'https://abc7chicago.com/nebraska-tornado-damage-confirmed-near-omaha-funnel-clouds-spotted-in-eastern-part-of-state-as-severe-storms-tear-through/14738259/', 'https://www.stltoday.com/news/local/metro/st-louis-hosts-emergency-and-military-training-for-massive-earthquake/article_6323cc46-3fc2-11ef-990b-d322c8ee33a3.html']"
train,crash,crossing,INDIANA,2010,1,['https://www.nwitimes.com/news/local/lake/two-lake-county-residents-killed-when-south-shore-train-hits-car/article_68355163-8cc4-53e7-b985-fc935a9dd76f.html']
train,crash,crossing,INDIANA,2011,1,"['https://www.wthr.com/article/news/local/fatal-crash-highlights-railroad-crossing-dangers/531-ff0d983f-76db-4add-a9e6-693a6bcce1aa', 'https://www.cbsnews.com/chicago/news/family-settles-lawuits-over-fatal-train-derailment-for-36m/']"
train,crash,crossing,INDIANA,2012,1,"['https://www.heraldbulletin.com/community/train-wreck-killed-three-in-1927/article_4dab8708-ba30-571e-a23e-c66a5402f4b2.html', 'https://www.kpcnews.com/news/latest/article_b07fa495-06af-5743-9d63-508e392f19a3.html', 'https://www.tribstar.com/news/local_news/adults-killed-3-children-hospitalized-after-train-car-collide-in-clark-county/article_6e552545-5a39-5c34-bb83-442cedc2fc61.html', 'https://www.cbsnews.com/chicago/news/report-slams-railway-in-accident-that-killed-woman/']"
train,crash,crossing,INDIANA,2013,1,"['https://daily-journal.com/news/local/indiana-man-27-who-survived-amtrak-crash-tried-to-go-around-gates/article_836fa1ef-042b-5a45-a169-fffc2bc2bbfb.html', 'https://fox59.com/news/three-dead-after-vehicle-collides-with-train-in-vigo-county/', 'https://daily-journal.com/news/local/accidents-waiting-to-happen/article_298d1ef2-23fa-599c-bde6-a9e5549ee52a.html']"
train,crash,crossing,INDIANA,2014,1,"['https://www.indystar.com/story/news/crime/2014/09/05/computer-distracts-trooper-leads-crash-train/15159389/', 'https://fox59.com/news/teen-killed-in-trainvehicle-collision-in-tipton/', 'https://www.oleantimesherald.com/news/fedex-van-driver-injured-in-train-accident/article_9cbea372-ed02-11e3-9188-0019bb2963f4.html', 'https://www.nationalgeographic.com/history/article/140117-barrington-illinois-leads-charge-on-oil-train-rules']"
train,crash,crossing,INDIANA,2015,1,"['https://www.carscoops.com/2015/07/yikes-watch-train-crash-into-stuck/', 'https://fox59.com/news/video-train-hits-limo-in-elkhart-county-remarkably-no-one-is-injured/', 'https://www.motorauthority.com/news/1099241_stretch-limo-hit-by-train-no-injuries-reported-video']"
train,crash,crossing,INDIANA,2016,1,"['https://www.wthr.com/article/news/local/one-earlham-student-dead-two-injured-after-train-accident/531-6968703a-d9d2-4476-953e-1b819a60a91b', 'https://www.boston.com/news/local-news/2016/12/12/what-should-you-do-if-youre-in-a-car-stuck-on-train-tracks/', 'https://www.indystar.com/picture-gallery/news/2016/08/03/a-look-back-at-the-fair-train/88004348/', 'https://www.mlive.com/news/jackson/2016/03/passenger_in_fair_condition_fo.html']"
train,crash,crossing,INDIANA,2017,1,"['https://www.pharostribune.com/gallery/news/collection_d7e62c64-3d08-11e7-8e77-97a246bf3ce1.html', 'https://www.courier-journal.com/story/news/2017/06/29/two-victims-wednesday-train-crash-henryville-identified/441122001/', 'https://fox59.com/news/fatal-crash-prompts-new-warnings-concerns-about-railroad-crossing-safety/', 'https://www.newsbug.info/rensselaer_republican/rensselaer-sighs-with-relief-none-harmed-in-16-car-train-crash/article_eaab2e10-e7c3-11e7-a339-bb8d39c32503.html', 'https://www.whas11.com/article/news/s-indiana-mother-charged-in-crash-that-killed-her-two-children/417-477946563', 'https://www.wspynews.com/news/local/dwight-man-identified-as-pedestrian-killed-in-fatal-lasalle-county-train-accident/article_0d55e1fe-7b6c-11e7-bba6-2b5fccb5fe37.html', 'https://www.whas11.com/article/news/local/indiana/two-toddlers-killed-in-train-track-tragedy/417-452913971']"
train,crash,crossing,INDIANA,2018,1,"['https://www.wave3.com/story/37649907/latest-deadly-collision-at-railroad-crossing-prompts-safety-conversation/', 'https://www.wsbt.com/news/local/breaking-train-versus-truck-accident-in-elkhart-county', 'https://www.whas11.com/article/news/local/indiana/this-southern-indiana-legend-is-terrifying-but-is-it-true/417-604439813', 'https://www.wdrb.com/news/henryville-mom-sentenced-for-crash-with-train-that-killed-her-2-children/article_3f37f20e-070b-56cd-b187-d335f513610c.html', 'https://www.nwitimes.com/news/local/lake/update-amtrak-train-splits-car-in-half-in-whiting-sending-man-to-hospital-indiana-third/article_20701ce3-e013-549f-aaea-2839aec7677c.html', 'https://www.inkfreenews.com/2018/10/02/update-pedestrian-hit-by-train-in-milford/', 'https://www.cbsnews.com/news/argos-indiana-school-bus-crash-teen-killed-today-2018-12-05/', 'https://www.wave3.com/story/37429838/indiana-mom-changes-plea-admits-guilt-in-crash-with-train-that-killed-her-2-kids/', 'https://wsbt.com/news/local/indiana-lawmaker-wants-current-railroad-crossing-law-to-remain-the-same', 'https://www.foxnews.com/us/train-smashes-into-semi-truck-in-georgia-in-dramatic-video']"
