subject,action,spot,date,page,url
train,crash,crossing,2010-07-07,1,
train,crash,crossing,2010-07-08,1,https://www.wbtv.com/story/12776307/hwy-75-reopens-where-crews-removed-derailed-rail-cars-in-waxhaw/
train,crash,crossing,2010-07-08,1,https://www.rheaheraldnews.com/news/local/article_25622b2c-0ddd-599c-bf23-b44f0ad8352f.html
train,crash,crossing,2010-07-09,1,
train,crash,crossing,2010-07-10,1,
train,crash,crossing,2010-07-11,1,
train,crash,crossing,2010-07-12,1,https://www.army.mil/article/42132/guardsman_receives_medal_of_valor_for_saving_life
train,crash,crossing,2010-07-13,1,
train,crash,crossing,2010-07-14,1,
train,crash,crossing,2010-07-15,1,
train,crash,crossing,2010-07-16,1,
train,crash,crossing,2010-07-17,1,
train,crash,crossing,2010-07-18,1,
train,crash,crossing,2010-07-19,1,
train,crash,crossing,2010-07-20,1,
train,crash,crossing,2010-07-21,1,
train,crash,crossing,2010-07-22,1,
train,crash,crossing,2010-07-23,1,https://www.nbcchicago.com/news/local/two-killed-after-train-strikes-car/1880450/
train,crash,crossing,2010-07-23,1,https://www.nwitimes.com/news/local/lake/two-lake-county-residents-killed-when-south-shore-train-hits-car/article_68355163-8cc4-53e7-b985-fc935a9dd76f.html
train,crash,crossing,2010-07-24,1,
train,crash,crossing,2010-07-25,1,
train,crash,crossing,2010-07-26,1,
train,crash,crossing,2010-07-27,1,
train,crash,crossing,2010-07-28,1,
train,crash,crossing,2010-07-29,1,
train,crash,crossing,2010-07-30,1,
train,crash,crossing,2010-07-31,1,
train,crash,crossing,2010-08-01,1,
train,crash,crossing,2010-08-02,1,
train,crash,crossing,2010-08-03,1,
train,crash,crossing,2010-08-04,1,
train,crash,crossing,2010-08-05,1,
train,crash,crossing,2010-08-06,1,
train,crash,crossing,2010-08-07,1,
train,crash,crossing,2010-08-08,1,
train,crash,crossing,2010-08-09,1,
train,crash,crossing,2010-08-10,1,https://www.ksl.com/article/11937589/uta-responds-to-fatal-frontrunner-collision
train,crash,crossing,2010-08-11,1,https://www.cjonline.com/story/news/local/2010/08/11/stub-1335/16492174007/
train,crash,crossing,2010-08-12,1,
train,crash,crossing,2010-08-13,1,
train,crash,crossing,2010-08-14,1,
train,crash,crossing,2010-08-15,1,
train,crash,crossing,2010-08-16,1,https://www.palmbeachpost.com/story/news/2010/08/16/boca-raton-retiree-dies-in/7598596007/
train,crash,crossing,2010-08-17,1,
train,crash,crossing,2010-08-18,1,https://www.theguardian.com/world/2010/aug/18/suffolk-rail-crossing-crash
train,crash,crossing,2010-08-19,1,
train,crash,crossing,2010-08-20,1,
train,crash,crossing,2010-08-21,1,
train,crash,crossing,2010-08-22,1,
train,crash,crossing,2010-08-23,1,
train,crash,crossing,2010-08-24,1,
train,crash,crossing,2010-08-25,1,
train,crash,crossing,2010-08-26,1,
train,crash,crossing,2010-08-27,1,
train,crash,crossing,2010-08-28,1,
train,crash,crossing,2010-08-29,1,
train,crash,crossing,2010-08-30,1,
train,crash,crossing,2010-08-31,1,
train,crash,crossing,2010-09-01,1,
train,crash,crossing,2010-09-02,1,
train,crash,crossing,2010-09-03,1,
train,crash,crossing,2010-09-04,1,
train,crash,crossing,2010-09-05,1,
train,crash,crossing,2010-09-06,1,
train,crash,crossing,2010-09-07,1,
train,crash,crossing,2010-09-08,1,
train,crash,crossing,2010-09-09,1,
train,crash,crossing,2010-09-10,1,
train,crash,crossing,2010-09-11,1,
train,crash,crossing,2010-09-12,1,
train,crash,crossing,2010-09-13,1,
train,crash,crossing,2010-09-14,1,
train,crash,crossing,2010-09-15,1,
train,crash,crossing,2010-09-16,1,
train,crash,crossing,2010-09-17,1,
train,crash,crossing,2010-09-18,1,
train,crash,crossing,2010-09-19,1,
train,crash,crossing,2010-09-20,1,https://www.ndtv.com/india-news/chronology-of-major-train-accidents-since-2000-424309
train,crash,crossing,2010-09-21,1,
train,crash,crossing,2010-09-22,1,
train,crash,crossing,2010-09-23,1,
train,crash,crossing,2010-09-24,1,
train,crash,crossing,2010-09-25,1,
train,crash,crossing,2010-09-26,1,
train,crash,crossing,2010-09-27,1,https://www.sanluisobispo.com/news/local/article39128904.html
train,crash,crossing,2010-09-28,1,
train,crash,crossing,2010-09-29,1,
train,crash,crossing,2010-09-30,1,https://www.syracuse.com/news/2010/09/heres_what_experts_say_about_f.html
train,crash,crossing,2010-10-01,1,
train,crash,crossing,2010-10-02,1,
train,crash,crossing,2010-10-03,1,
train,crash,crossing,2010-10-04,1,
train,crash,crossing,2010-10-05,1,
train,crash,crossing,2010-10-06,1,
train,crash,crossing,2010-10-07,1,
train,crash,crossing,2010-10-08,1,
train,crash,crossing,2010-10-09,1,
train,crash,crossing,2010-10-10,1,
train,crash,crossing,2010-10-11,1,
train,crash,crossing,2010-10-12,1,https://archive.kyivpost.com/article/content/ukraine-politics/update-at-least-38-people-killed-in-train-bus-coll-85948.html
train,crash,crossing,2010-10-12,1,https://www.npr.org/2010/10/12/130507169/dozens-killed-as-bus-train-collide-in-ukraine
train,crash,crossing,2010-10-13,1,https://www.ocregister.com/2010/10/13/railroad-crossings-enhanced-for-safety/
train,crash,crossing,2010-10-14,1,
train,crash,crossing,2010-10-15,1,
train,crash,crossing,2010-10-16,1,
train,crash,crossing,2010-10-17,1,
train,crash,crossing,2010-10-18,1,
train,crash,crossing,2010-10-19,1,
train,crash,crossing,2010-10-20,1,
train,crash,crossing,2010-10-21,1,
train,crash,crossing,2010-10-22,1,
train,crash,crossing,2010-10-23,1,https://www.chieftain.com/story/news/2010/10/23/lawsuit-cites-unsafe-train-crossing/8820177007/
train,crash,crossing,2010-10-24,1,
train,crash,crossing,2010-10-25,1,
train,crash,crossing,2010-10-26,1,
train,crash,crossing,2010-10-27,1,
train,crash,crossing,2010-10-28,1,
train,crash,crossing,2010-10-29,1,
train,crash,crossing,2010-10-30,1,
